Incerteza Threshold,Capital Final,Acurácia (%),TradedDays,Normalização,MaxDD,FinalScore
Intervalo: 20.00%,507321.0,100.0,2,none,0.0,0.9087852000000001
Intervalo: 25.00%,507321.0,100.0,2,none,0.0,0.9087852000000001
Intervalo: 5.00%,503984.0,100.0,1,none,0.0,0.9047807999999999
Intervalo: 5.00%,503984.0,100.0,1,minmax,0.0,0.9047807999999999
Intervalo: 5.00%,503984.0,100.0,1,power,0.0,0.9047807999999999
Intervalo: 10.00%,503984.0,100.0,1,standard,0.0,0.9047807999999999
Intervalo: 10.00%,503984.0,100.0,1,none,0.0,0.9047807999999999
Intervalo: 5.00%,503984.0,100.0,1,standard,0.0,0.9047807999999999
Intervalo: 15.00%,503984.0,100.0,1,none,0.0,0.9047807999999999
Intervalo: 60.00%,539210.0000000002,60.87,39,standard,4.777823954479128,0.8201063520910419
Incerteza não utilizada,529570.0,60.42,40,none,4.796972333974998,0.8071500553320499
Incerteza não utilizada,529570.0,60.42,40,minmax,4.796972333974998,0.8071500553320499
Incerteza não utilizada,529570.0,60.42,40,standard,4.796972333974998,0.8071500553320499
Incerteza não utilizada,529570.0,60.42,40,power,4.796972333974998,0.8071500553320499
